StudentID,FYGPA,Sex,IPEDSrace,FYAid,HSClassRank,SATreading,SATmath,SATwriting,ACT,Major,Division
345,3.75,F,WH,0,NA,720,780,700,NA,ECON,SocSci
346,3.27,F,WH,25000-34999,NA,790,640,700,NA,SOCI,SocSci
347,3.38,M,WH,0,3rd decile,710,670,730,32,PHYS,NatSci
348,2.96,M,WH,0,2nd decile,620,730,640,32,POLI,SocSci
349,3.79,M,WH,15001-24999,NA,680,730,650,32,PHYS,NatSci
350,3.88,F,WH,1-15000,Top 5,750,690,800,NA,BIOL,NatSci
351,3.56,F,WH,0,Top 5,760,660,680,NA,MUSI,Arts
352,3.26,F,AS,35000-44999,NA,730,700,800,NA,BIOL,NatSci
353,3.58,F,MR,1-15000,2nd decile,730,700,650,NA,AMST,Humanities
354,3.99,F,WH,35000-44999,Top 5,650,670,670,33,HIST,Humanities
355,3.68,F,WH,25000-34999,2nd decile,640,660,690,32,MUSI,Arts
356,3.44,F,HI,35000-44999,Top 5,720,670,750,32,ENGL,Humanities
357,3.88,F,WH,35000-44999,NA,690,660,740,32,MUSI,Arts
358,3.68,F,AS,35000-44999,NA,690,780,710,NA,ASIA,Humanities
359,3.93,F,WH,1-15000,NA,770,640,800,30,ENGL,Humanities
360,3.78,F,WH,1-15000,NA,800,670,750,NA,GEOG,SocSci
361,3.52,F,WH,35000-44999,1st decile,780,650,700,32,CLAS,Humanities
362,3.79,M,WH,0,NA,780,760,670,NA,MSCS,NatSci
363,3.68,M,WH,1-15000,NA,740,680,650,NA,MUSI,Arts
364,3.84,M,WH,0,2nd decile,NA,NA,NA,34,PSYC,SocSci
365,3.41,F,WH,0,3rd decile,NA,NA,NA,33,HISP,Humanities
